[1/136] Score:1.0 (100%) | Case:task_1 ✅ ⏱85s
[2/136] Score:1.5 (75%) | Case:task_6 ✅ ⏱47s
[3/136] Score:2.5 (83%) | Case:task_6 ✅ ⏱80s
[4/136] Score:2.5 (62%) | Case:task_1 ✅ ⏱45s
[5/136] Score:3.5 (70%) | Case:task_6 ✅ ⏱37s
[6/136] Score:4.0 (67%) | Case:task_5 ✅ ⏱84s
[7/136] Score:5.0 (71%) | Case:task_7 ✅ ⏱56s
[8/136] Score:6.0 (75%) | Case:task_3 ✅ ⏱41s
[9/136] Score:6.3 (70%) | Case:task_7 ✅ ⏱40s
[10/136] Score:6.3 (63%) | Case:task_6 ✅ ⏱82s
[11/136] Score:7.3 (67%) | Case:task_3 ✅ ⏱39s
[12/136] Score:7.3 (61%) | Case:task_1 ✅ ⏱77s
[13/136] Score:7.3 (56%) | Case:task_3 ✅ ⏱81s
[14/136] Score:7.3 (52%) | Case:task_4 ✅ ⏱60s
[15/136] Score:7.3 (49%) | Case:task_2 ✅ ⏱50s
[16/136] Score:8.3 (52%) | Case:task_4 ✅ ⏱84s
[17/136] Score:8.3 (49%) | Case:task_1 ✅ ⏱64s
[18/136] Score:8.8 (49%) | Case:task_6 ✅ ⏱87s
[19/136] Score:8.8 (46%) | Case:task_6 ✅ ⏱71s
[20/136] Score:8.8 (44%) | Case:task_3 ✅ ⏱81s
[21/136] Score:9.3 (44%) | Case:task_5 ✅ ⏱87s
[22/136] Score:9.3 (42%) | Case:task_5 ✅ ⏱81s
[23/136] Score:9.3 (41%) | Case:task_1 ✅ ⏱56s
[24/136] Score:9.3 (39%) | Case:task_7 ✅ ⏱56s
[25/136] Score:9.3 (37%) | Case:task_6 ✅ ⏱53s
[26/136] Score:9.3 (36%) | Case:task_3 ✅ ⏱100s
[27/136] Score:9.7 (36%) | Case:task_7 ✅ ⏱90s
[28/136] Score:9.7 (34%) | Case:task_6 ✅ ⏱88s
[29/136] Score:9.7 (33%) | Case:task_5 ✅ ⏱90s
[30/136] Score:9.7 (32%) | Case:task_5 ✅ ⏱78s
[31/136] Score:9.7 (31%) | Case:task_2 ✅ ⏱60s
[32/136] Score:9.7 (30%) | Case:task_2 ✅ ⏱152s
[33/136] Score:10.7 (32%) | Case:task_3 ✅ ⏱70s
[34/136] Score:10.7 (31%) | Case:task_7 ✅ ⏱83s
[35/136] Score:10.7 (30%) | Case:task_2 ✅ ⏱86s
[36/136] Score:11.0 (31%) | Case:task_7 ✅ ⏱80s
[37/136] Score:11.5 (31%) | Case:task_5 ✅ ⏱43s
[38/136] Score:11.5 (30%) | Case:task_1 ✅ ⏱40s
[39/136] Score:11.5 (29%) | Case:task_5 ✅ ⏱91s
[40/136] Score:11.5 (29%) | Case:task_3 ✅ ⏱81s
[41/136] Score:12.0 (29%) | Case:task_4 ✅ ⏱88s
[42/136] Score:13.0 (31%) | Case:task_1 ✅ ⏱80s
[43/136] Score:13.0 (30%) | Case:task_1 ✅ ⏱65s
[44/136] Score:13.0 (30%) | Case:task_7 ✅ ⏱60s
[45/136] Score:13.3 (30%) | Case:task_7 ✅ ⏱51s
[46/136] Score:13.3 (29%) | Case:task_3 ✅ ⏱33s
[47/136] Score:13.3 (28%) | Case:task_2 ✅ ⏱53s
[48/136] Score:13.3 (28%) | Case:task_1 ✅ ⏱43s
[49/136] Score:13.3 (27%) | Case:task_2 ✅ ⏱32s
[50/136] Score:13.8 (28%) | Case:task_5 ✅ ⏱43s
[51/136] Score:14.3 (28%) | Case:task_1 ✅ ⏱38s
[52/136] Score:14.8 (29%) | Case:task_1 ✅ ⏱39s
[53/136] Score:14.8 (28%) | Case:task_6 ✅ ⏱44s
[54/136] Score:15.8 (29%) | Case:task_1 ✅ ⏱32s
[55/136] Score:15.8 (29%) | Case:task_7 ✅ ⏱89s
[56/136] Score:16.3 (29%) | Case:task_5 ✅ ⏱32s
[57/136] Score:17.0 (30%) | Case:task_7 ✅ ⏱82s
[58/136] Score:18.0 (31%) | Case:task_2 ✅ ⏱34s
[59/136] Score:18.0 (30%) | Case:task_2 ✅ ⏱32s
[60/136] Score:19.0 (32%) | Case:task_6 ✅ ⏱87s
[61/136] Score:19.0 (31%) | Case:task_4 ✅ ⏱67s
[62/136] Score:19.5 (31%) | Case:task_5 ✅ ⏱32s
[63/136] Score:19.5 (31%) | Case:task_2 ✅ ⏱32s
[64/136] Score:20.5 (32%) | Case:task_3 ✅ ⏱78s
[65/136] Score:21.0 (32%) | Case:task_5 ✅ ⏱80s
[66/136] Score:21.3 (32%) | Case:task_7 ✅ ⏱45s
[67/136] Score:21.8 (33%) | Case:task_5 ✅ ⏱46s
[68/136] Score:22.1 (32%) | Case:task_4 ✅ ⏱80s
[69/136] Score:22.1 (32%) | Case:task_2 ✅ ⏱34s
[70/136] Score:22.6 (32%) | Case:task_5 ✅ ⏱44s
[71/136] Score:22.6 (32%) | Case:task_7 ✅ ⏱32s
[72/136] Score:22.6 (31%) | Case:task_6 ✅ ⏱31s
[73/136] Score:23.6 (32%) | Case:task_6 ✅ ⏱56s
[74/136] Score:23.6 (32%) | Case:task_2 ✅ ⏱33s
[75/136] Score:23.6 (31%) | Case:task_4 ✅ ⏱36s
[76/136] Score:24.6 (32%) | Case:task_6 ✅ ⏱48s
[77/136] Score:24.6 (32%) | Case:task_6 ✅ ⏱82s
[78/136] Score:24.6 (32%) | Case:task_3 ✅ ⏱71s
[79/136] Score:25.1 (32%) | Case:task_4 ✅ ⏱67s
[80/136] Score:26.1 (33%) | Case:task_5 ✅ ⏱73s
[81/136] Score:26.1 (32%) | Case:task_4 ✅ ⏱89s
[82/136] Score:26.1 (32%) | Case:task_1 ✅ ⏱62s
[83/136] Score:27.1 (33%) | Case:task_2 ✅ ⏱56s
[84/136] Score:27.1 (32%) | Case:task_2 ✅ ⏱44s
[85/136] Score:27.1 (32%) | Case:task_1 ✅ ⏱44s
[86/136] Score:28.1 (33%) | Case:task_3 ✅ ⏱32s
[87/136] Score:28.1 (32%) | Case:task_1 ✅ ⏱58s
[88/136] Score:28.3 (32%) | Case:task_5 ✅ ⏱97s
[89/136] Score:28.3 (32%) | Case:task_5 ✅ ⏱95s
[90/136] Score:28.3 (31%) | Case:task_2 ✅ ⏱80s
[91/136] Score:28.3 (31%) | Case:task_5 ✅ ⏱56s
[92/136] Score:29.3 (32%) | Case:task_2 ✅ ⏱71s
[93/136] Score:30.3 (33%) | Case:task_1 ✅ ⏱40s
[94/136] Score:30.3 (32%) | Case:task_1 ✅ ⏱96s
[95/136] Score:30.3 (32%) | Case:task_1 ✅ ⏱40s
[96/136] Score:30.3 (32%) | Case:task_1 ✅ ⏱43s
[97/136] Score:31.0 (32%) | Case:task_7 ✅ ⏱146s
[98/136] Score:32.0 (33%) | Case:task_3 ✅ ⏱80s
[99/136] Score:33.0 (33%) | Case:task_2 ✅ ⏱85s
[100/136] Score:33.0 (33%) | Case:task_3 ✅ ⏱92s
[101/136] Score:33.0 (33%) | Case:task_6 ✅ ⏱59s
[102/136] Score:34.0 (33%) | Case:task_4 ✅ ⏱57s
[103/136] Score:34.0 (33%) | Case:task_2 ✅ ⏱56s
[104/136] Score:34.2 (33%) | Case:task_5 ✅ ⏱103s
[105/136] Score:34.2 (33%) | Case:task_2 ✅ ⏱41s
[106/136] Score:35.2 (33%) | Case:task_6 ✅ ⏱91s
[107/136] Score:35.7 (33%) | Case:task_4 ✅ ⏱78s
[108/136] Score:35.7 (33%) | Case:task_2 ✅ ⏱64s
[109/136] Score:36.1 (33%) | Case:task_7 ✅ ⏱58s
[110/136] Score:36.1 (33%) | Case:task_4 ✅ ⏱60s
[111/136] Score:36.1 (32%) | Case:task_7 ✅ ⏱57s
[112/136] Score:36.1 (32%) | Case:task_4 ✅ ⏱48s
[113/136] Score:36.1 (32%) | Case:task_2 ✅ ⏱32s
[114/136] Score:36.1 (32%) | Case:task_1 ✅ ⏱80s
[115/136] Score:36.1 (31%) | Case:task_1 ✅ ⏱53s
[116/136] Score:36.1 (31%) | Case:task_6 ✅ ⏱37s
[117/136] Score:36.1 (31%) | Case:task_4 ✅ ⏱35s
[118/136] Score:37.1 (31%) | Case:task_3 ✅ ⏱90s
[119/136] Score:37.1 (31%) | Case:task_4 ✅ ⏱73s
[120/136] Score:37.1 (31%) | Case:task_4 ✅ ⏱75s
[121/136] Score:37.3 (31%) | Case:task_4 ✅ ⏱45s
[122/136] Score:37.3 (31%) | Case:task_1 ✅ ⏱33s
[123/136] Score:38.3 (31%) | Case:task_6 ✅ ⏱86s
[124/136] Score:39.3 (32%) | Case:task_6 ✅ ⏱45s
[125/136] Score:39.8 (32%) | Case:task_6 ✅ ⏱56s
